GEO_CODE,Total_households,Households_with_at_least_one_vars_or_vans,Per_cent_of_households_with_at_least_one_car_or_van
E02000167,3629,2131,0.587214109
E02000168,3535,1574,0.445261669
E02000169,2942,1989,0.6760707
E02000170,3685,1864,0.505834464
E02000171,3502,1705,0.486864649
E02000172,4186,1397,0.333731486
E02000173,3569,1681,0.47100028
E02000174,3822,1423,0.372318158
E02000175,4277,1763,0.412204816
E02000176,3261,1500,0.459981601
E02000177,3865,1374,0.35549806
E02000178,4280,1441,0.336682243
E02000179,2870,1377,0.479790941
E02000180,3394,1257,0.370359458
E02000181,3657,1778,0.486190867
E02000182,2963,1485,0.501181235
E02000183,3881,1819,0.468693636
E02000184,3655,1089,0.297948016
E02000185,3938,1238,0.314372778
E02000186,3099,1006,0.324620845
E02000187,3290,876,0.266261398
E02000188,3170,848,0.267507886
E02000189,2253,547,0.242787395
E02000190,3181,557,0.175102169
E02000191,2868,628,0.218967922
E02000192,3375,890,0.263703704
E02000193,3850,869,0.225714286
E02000194,4099,2355,0.574530373
E02000195,3446,2618,0.759721416
E02000196,2553,1723,0.674892284
E02000197,3403,2097,0.616220981
E02000198,3338,1883,0.564110246
E02000199,3172,1995,0.628940731
E02000200,3811,2117,0.555497245
E02000201,3814,1859,0.487414788
E02000202,2981,1964,0.658839316
E02000203,3062,1580,0.516002613
E02000204,3146,2079,0.660839161
E02000206,4009,2044,0.509852831
E02000207,3592,2206,0.614142539
E02000208,3821,1936,0.506673646
E02000209,2919,1930,0.661185337
E02000210,3371,2245,0.665974488
E02000211,3279,2837,0.865202806
E02000212,2977,1662,0.558280148
E02000213,4160,1787,0.429567308
E02000214,2321,1774,0.764325722
E02000215,4991,2469,0.494690443
E02000216,3028,1966,0.649273448
E02000217,4273,2232,0.522349637
E02000218,2369,1680,0.709159983
E02000219,2999,2530,0.843614538
E02000220,4847,2399,0.494945327
E02000221,3866,2628,0.679772375
E02000222,3539,2472,0.698502402
E02000223,2875,1552,0.539826087
E02000224,3309,2337,0.706255666
E02000225,2708,1887,0.696824225
E02000226,2796,2479,0.886623748
E02000227,4851,3962,0.816738817
E02000228,2924,2622,0.896716826
E02000229,2413,1447,0.599668462
E02000230,4004,3068,0.766233766
E02000231,2543,2339,0.919779788
E02000232,2324,2024,0.87091222
E02000233,2391,1989,0.831869511
E02000234,3161,2507,0.793103448
E02000235,2694,2359,0.875649592
E02000236,2838,2513,0.885482734
E02000237,3090,2499,0.808737864
E02000238,3179,2410,0.758100031
E02000239,2924,2275,0.778043776
E02000240,3770,2489,0.660212202
E02000241,2366,1766,0.746407439
E02000242,2151,1611,0.748953975
E02000243,3068,2153,0.701760104
E02000244,2658,2000,0.752445448
E02000245,3210,1884,0.586915888
E02000246,3071,2042,0.66492999
E02000247,3755,2567,0.683621838
E02000248,2902,2039,0.702618884
E02000249,2739,1822,0.66520628
E02000250,2541,2016,0.79338843
