GEO_CODE,Total_households,Households_with_at_least_one_vars_or_vans,Per_cent_of_households_with_at_least_one_car_or_van
E02001595,3577,2969,0.830025161
E02001596,3687,2837,0.769460266
E02001597,4060,2574,0.633990148
E02001598,4068,3081,0.757374631
E02001599,2627,2217,0.843928435
E02001600,4126,3340,0.809500727
E02001601,2188,1731,0.791133455
E02001602,3745,2875,0.767690254
E02001603,2794,2061,0.737652112
E02001604,3455,2800,0.810419682
E02001605,3079,2593,0.842156544
E02001606,3306,2519,0.761947973
E02001607,3755,2875,0.765645806
E02001608,2818,2357,0.836408801
E02001609,3578,3069,0.857741755
E02001610,3533,2983,0.844324936
E02001611,3356,2523,0.751787843
E02001612,2539,2108,0.830248129
E02001613,4522,3451,0.763157895
E02001614,4728,3867,0.817893401
E02001615,3289,2795,0.849802372
E02001616,3116,2192,0.703465982
E02001617,2287,1435,0.627459554
E02001618,4057,3505,0.863938871
E02001619,3996,2339,0.585335335
E02001620,2773,1622,0.584926073
E02001621,2305,1384,0.600433839
E02001622,4004,2343,0.585164835
E02001623,3301,1597,0.48379279
E02001624,4020,2832,0.704477612
E02001625,3179,1816,0.57124882
E02001626,2474,1889,0.763540825
E02001627,2788,1798,0.644906743
E02001628,2235,1298,0.580760626
E02001629,2858,1473,0.515395381
E02001630,2802,1673,0.597073519
E02001631,3357,2446,0.72862675
E02001632,4370,1949,0.445995423
E02001633,3177,2662,0.837897387
E02001634,4398,3161,0.718735789
E02001635,2930,1933,0.659726962
E02001636,4176,1818,0.435344828
E02001637,2350,1231,0.523829787
E02001638,2218,1524,0.6871055
E02001639,2779,1952,0.702410939
E02001640,2871,1766,0.615116684
E02001642,4011,2982,0.743455497
E02001643,2729,2241,0.821179919
E02001646,2758,1746,0.63306744
E02001647,2682,1921,0.716256525
E02001648,2769,2237,0.807872878
E02001649,4178,2081,0.498085208
E02001650,3391,1453,0.428487172
E02001651,3306,2999,0.907138536
E02001652,3791,1826,0.481667106
E02001653,3101,1644,0.530151564
E02001654,2639,1901,0.720348617
E02001655,3419,2166,0.633518573
E02001656,3042,2369,0.778763971
E02001657,3619,3034,0.838353136
E02001658,2321,1102,0.474795347
E02001659,2976,1758,0.590725806
E02001660,4084,2945,0.721106758
E02001661,3647,2004,0.549492734
E02001662,3394,2317,0.682675309
E02001663,3343,2474,0.740053844
E02001664,2768,2007,0.725072254
E02001665,3794,3395,0.894833948
E02001666,2584,1846,0.714396285
E02001669,3500,2600,0.742857143
E02001670,2766,1352,0.48879248
E02001671,2669,2118,0.793555639
E02001672,2734,1964,0.718361375
E02001673,2195,1995,0.908883827
E02001674,3904,3117,0.798411885
E02001675,4149,2810,0.677271632
E02001676,2514,2132,0.848050915
E02001678,4344,3793,0.873158379
E02001679,3011,1765,0.586183992
E02001680,3133,1484,0.473667411
E02001681,3332,2785,0.835834334
E02001682,3431,2540,0.740308948
E02001683,4002,3149,0.786856572
E02001684,3311,1668,0.503775294
E02001685,3612,2184,0.604651163
E02001686,3168,2334,0.736742424
E02001688,3799,2032,0.534877599
E02001689,3351,1576,0.470307371
E02001690,3325,2278,0.685112782
E02001691,3876,2049,0.528637771
E02001692,2765,1382,0.499819168
E02001693,2633,1287,0.48879605
E02001694,2814,1939,0.689054726
E02001695,2702,2037,0.75388601
E02001696,4065,2233,0.549323493
E02001697,3386,2502,0.738924985
E02001698,3202,2656,0.829481574
E02001699,3124,1960,0.627400768
E02001700,4585,3413,0.74438386
E02001701,2763,2165,0.783568585
E02001702,3522,1720,0.488358887
E02001703,2435,1913,0.785626283
E02001704,3380,1934,0.572189349
E02001705,3200,2190,0.684375
E02001706,2924,1907,0.652188782
E02001707,3599,2457,0.682689636
E02001708,4122,3227,0.782872392
E02001709,4218,3487,0.826695116
E02001710,4381,2404,0.548733166
E02001711,4129,2457,0.595059336
E02001712,4214,3121,0.740626483
E02001713,4389,3354,0.764183185
E02001714,3901,3172,0.81312484
E02001715,4712,2827,0.599957555
E02001718,2427,1312,0.540585084
E02001719,3759,2745,0.730247406
E02001720,3343,2257,0.675142088
E02001721,4647,3138,0.675274371
E02001722,4195,2439,0.581406436
E02001723,2575,1529,0.593786408
E02001724,3575,2270,0.634965035
E02001725,4536,2257,0.497574956
E02001726,4687,2820,0.601664178
E02001727,3877,2224,0.573639412
E02001728,4248,2925,0.688559322
E02001729,4145,1867,0.450422195
E02001730,4835,2263,0.468045502
E02001731,5587,1650,0.295328441
E02001732,2193,1155,0.526675787
E02001733,5675,2292,0.403876652
E02001734,3233,1564,0.483761212
E02001735,2884,1102,0.382108183
E02001736,4959,1790,0.360959871
E02001737,2968,1009,0.339959569
E02001738,2471,2193,0.887494941
E02001739,3355,2395,0.713859911
E02001740,2294,1992,0.868352223
E02001741,3283,2536,0.77246421
E02001742,2604,2145,0.823732719
E02001743,3195,2297,0.718935837
E02001744,2877,2174,0.755648245
E02001745,2786,1962,0.704235463
E02001746,3598,2549,0.708449138
E02001747,2880,2218,0.770138889
E02001748,3253,2406,0.739624962
E02001749,2772,2037,0.734848485
E02001750,2841,2270,0.799014432
E02001751,2716,1870,0.688512518
E02001752,2789,1697,0.608461814
E02001753,3230,2297,0.711145511
E02001754,2849,2171,0.762021762
E02001755,3500,2645,0.755714286
E02001756,4391,2513,0.572306992
E02001757,2753,1891,0.686887032
E02001758,2450,1791,0.731020408
E02001759,3261,2002,0.61392211
E02001760,3471,1649,0.475079228
E02001761,2448,1603,0.654820261
E02001762,2471,1876,0.759206799
E02001763,2882,1633,0.566620402
E02001764,3883,1956,0.503734226
E02001765,3312,1801,0.543780193
E02001766,3295,1935,0.587253414
E02001767,3385,1926,0.568980798
E02001768,3812,2328,0.610703043
E02001769,3973,1722,0.433425623
E02001770,3035,2052,0.676112026
E02001771,2806,1690,0.602280827
E02001772,2467,1580,0.640453993
E02001773,2381,1898,0.797144057
E02001774,2559,1342,0.524423603
E02001775,2450,1388,0.566530612
E02001776,3729,2266,0.607669617
E02001777,2897,1894,0.653779772
E02001778,2939,1581,0.537938074
E02001779,2519,1323,0.525208416
E02001780,2318,1435,0.619068162
E02001781,2567,1328,0.517335411
E02001782,3835,2246,0.585658409
E02001783,2980,1532,0.51409396
E02001784,2970,1829,0.615824916
E02001785,3555,2437,0.685513361
E02001786,3178,1824,0.573945878
E02001787,2457,1691,0.688237688
E02001788,2636,1740,0.660091047
E02001789,2471,2191,0.886685552
E02001790,2633,2020,0.76718572
E02001791,2427,1979,0.815409971
E02001792,3048,2439,0.80019685
E02001793,3822,1867,0.488487703
E02001794,3732,1940,0.51982851
E02001795,3577,1818,0.508247134
E02001796,4426,2850,0.643922277
E02001797,2486,2004,0.80611424
E02001798,3445,2109,0.612191582
E02001799,4424,2380,0.537974684
E02001800,3014,2161,0.716987392
E02001801,2515,1386,0.551093439
E02001802,2638,1375,0.521228203
E02001803,4188,1786,0.426456543
E02001804,2706,1764,0.651884701
E02001805,2501,1747,0.698520592
E02001806,4143,1733,0.418295921
E02001807,3027,2144,0.708292038
E02001808,2468,1703,0.690032415
E02001809,2881,2114,0.733772995
E02001810,3699,2746,0.742362801
E02001811,4087,2310,0.565206753
E02001812,4354,3626,0.832797428
E02001813,4318,2243,0.519453451
E02001814,2762,1780,0.644460536
E02001815,4244,3499,0.824458058
E02001816,3357,1844,0.54929997
E02001817,2714,1695,0.624539425
E02001818,3530,2413,0.683569405
E02001819,3054,2485,0.813686968
E02001820,3618,2607,0.720563847
E02001821,2453,1887,0.769262128
E02001822,3165,2433,0.768720379
E02001823,3064,2123,0.692885117
E02001824,3722,2601,0.69881784
E02001825,3232,2237,0.692141089
E02001826,2917,1836,0.629413781
E02001827,2578,2156,0.836307215
E02001828,3141,2564,0.816300541
E02001829,3446,3167,0.919036564
E02001830,3954,3488,0.882144664
E02001831,4399,3209,0.729483974
E02001832,3437,2991,0.870235671
E02001833,2288,1946,0.850524476
E02001834,2480,1673,0.674596774
E02001835,3496,2800,0.800915332
E02001836,3672,3132,0.852941176
E02001837,4098,2301,0.561493411
E02001838,3082,2757,0.894548994
E02001839,2810,1996,0.710320285
E02001840,3586,2034,0.5672058
E02001841,2414,2183,0.904308202
E02001842,3024,2410,0.796957672
E02001843,2713,2059,0.758938445
E02001844,4459,3208,0.719443821
E02001845,2575,2027,0.787184466
E02001846,3359,2047,0.609407562
E02001847,2399,1999,0.83326386
E02001848,2545,1540,0.605108055
E02001849,3211,1662,0.517595765
E02001850,3059,2231,0.729323308
E02001851,3705,2633,0.710661269
E02001852,2687,1692,0.629698549
E02001854,3252,2180,0.670356704
E02001855,4247,2329,0.548387097
E02001856,3451,2260,0.654882643
E02001857,5340,3063,0.573595506
E02001858,3126,1862,0.595649392
E02001859,2722,1559,0.572740632
E02001860,2852,1494,0.523842917
E02001861,3160,1593,0.504113924
E02001862,3337,1831,0.548696434
E02001863,2350,1240,0.527659574
E02001864,2248,1121,0.49866548
E02001865,3324,1683,0.50631769
E02001866,2576,1260,0.489130435
E02001867,2076,1020,0.49132948
E02001868,2637,2099,0.795980281
E02001869,2433,912,0.374845869
E02001870,3575,2370,0.662937063
E02001871,3543,2016,0.569009314
E02001872,3128,1780,0.569053708
E02001873,3949,1798,0.455305141
E02001874,2737,1465,0.535257581
E02001875,3264,1512,0.463235294
E02001876,3136,1046,0.333545918
E02001877,2867,1588,0.553889083
E02001878,2707,1410,0.520871814
E02001879,3155,1531,0.48526149
E02001880,3479,2096,0.602471975
E02001881,2943,1676,0.569486918
E02001882,3144,1954,0.621501272
E02001883,3615,2016,0.557676349
E02001884,2447,1584,0.647323253
E02001886,3231,2049,0.634168988
E02001888,2400,1517,0.632083333
E02001889,2276,1373,0.603251318
E02001890,4450,2765,0.621348315
E02001892,3534,2018,0.571024335
E02001893,3168,2208,0.696969697
E02001895,3259,2012,0.617367291
E02001896,2422,1370,0.565648225
E02001897,2818,1144,0.405961675
E02001898,2664,2148,0.806306306
E02001899,3216,2613,0.8125
E02001900,2625,1467,0.558857143
E02001901,3677,2736,0.744084852
E02001902,2487,1820,0.731805388
E02001903,2016,1085,0.538194444
E02001904,2618,1563,0.597020626
E02001905,2578,2006,0.778122576
E02001906,3798,2861,0.753291206
E02001907,4115,3021,0.734143378
E02001908,2178,1290,0.592286501
E02001909,2298,1210,0.526544822
E02001910,2330,1145,0.491416309
E02001911,3317,1829,0.551401869
E02001913,3289,1806,0.549103071
E02001914,2195,1608,0.732574032
E02001915,4852,3247,0.669208574
E02001916,3085,1897,0.614910859
E02001918,4081,2405,0.589316344
E02001919,2624,1817,0.692454268
E02001920,3256,1969,0.60472973
E02001921,3283,2115,0.64422784
E02001922,2994,1628,0.543754175
E02001923,3380,2349,0.694970414
E02001924,2396,1692,0.706176962
E02001925,2812,1903,0.676742532
E02001926,2829,1921,0.67903853
E02001927,3205,1920,0.599063963
E02001928,3003,1928,0.642024642
E02001929,3690,2274,0.616260163
E02001930,3203,2356,0.735560412
E02001931,3067,2399,0.782197587
E02001932,2853,1694,0.593760953
E02001933,3119,2084,0.668162873
E02001934,2297,1933,0.841532434
E02001935,3238,2386,0.736874614
E02001936,2570,1963,0.76381323
E02001937,3249,2024,0.622960911
E02001938,3286,2232,0.679245283
E02001939,2882,1766,0.61276891
E02001941,2519,1599,0.634775705
E02001942,2971,1945,0.65466173
E02001943,2593,1877,0.723871963
E02001944,3411,2590,0.759308121
E02001945,3098,1829,0.590380891
E02001946,3193,2459,0.770122142
E02001947,2869,1297,0.452073893
E02001948,3073,2326,0.756915067
E02001949,2483,1613,0.649617398
E02001950,3608,2658,0.736696231
E02001951,3573,2040,0.570948783
E02001952,4055,2149,0.529963009
E02001953,2963,2221,0.74957813
E02001954,3400,1875,0.551470588
E02001955,2738,1913,0.698685172
E02001956,2684,1986,0.739940387
E02001957,3283,2521,0.767895218
E02001958,3268,2332,0.713586291
E02001959,2378,1915,0.80529857
E02001961,3277,1757,0.536161123
E02001962,2215,1321,0.596388262
E02001963,2441,1874,0.767718148
E02001964,3282,1645,0.501218769
E02001965,3309,2610,0.788757933
E02001966,2228,1254,0.562836625
E02001967,2648,2251,0.850075529
E02001968,2693,1949,0.723728184
E02001969,2677,1702,0.635786328
E02001970,2474,1790,0.723524656
E02001971,2401,1846,0.768846314
E02001972,3644,1666,0.457189901
E02001973,3414,1960,0.57410662
E02001974,3906,3113,0.796979007
E02001975,2974,2329,0.783120377
E02001976,3126,2167,0.69321817
E02001977,4097,2104,0.513546497
E02001978,2538,1868,0.736012608
E02001979,2465,2024,0.821095335
E02001980,2568,2289,0.89135514
E02001981,4334,1833,0.422934933
E02001982,3068,2563,0.835397653
E02001983,3268,2477,0.757955936
E02001984,3515,2577,0.73314367
E02001985,3071,1431,0.465971996
E02001986,3587,2106,0.587120156
E02001987,2609,1558,0.597163664
E02001988,3562,1633,0.458450309
E02001989,2296,1789,0.779181185
E02001990,3661,3143,0.858508604
E02001991,3732,2895,0.775723473
E02001992,3879,2483,0.640113431
E02001993,2937,1910,0.650323459
E02001994,3398,2494,0.733961154
E02001995,3090,2094,0.677669903
E02001996,3262,1492,0.457388105
E02001997,3464,2921,0.843244804
E02001998,2381,2076,0.871902562
E02001999,2258,1829,0.810008857
E02002000,3218,2278,0.707893101
E02002001,2509,1871,0.745715424
E02002002,2982,2601,0.8722334
E02002003,3766,2890,0.767392459
E02002004,2979,2155,0.723397113
E02002005,3024,2012,0.665343915
E02002006,2826,2040,0.721868365
E02002007,3796,3013,0.793730242
E02002008,3066,2809,0.91617743
E02002009,2550,1528,0.599215686
E02002010,3223,1894,0.587651257
E02002011,2457,2158,0.878306878
E02002012,3278,2141,0.65314216
E02002013,2783,2386,0.857348185
E02002014,2643,1764,0.667423383
E02002015,2429,1993,0.820502264
E02002016,3132,2125,0.678480204
E02002017,3550,2380,0.670422535
E02002018,3707,3237,0.873212841
E02002019,3102,2181,0.703094778
E02002020,3980,3495,0.878140704
E02002021,3400,1977,0.581470588
E02002022,3418,2537,0.742246928
E02002023,2221,1903,0.856821252
E02002024,3434,2666,0.776354106
E02002025,3319,2529,0.761976499
E02002026,2800,2481,0.886071429
E02002027,2223,2085,0.937921727
E02002028,2587,2033,0.785852339
E02002029,2468,2068,0.837925446
E02002030,2690,2046,0.760594796
E02002031,2339,1920,0.820863617
E02002032,4050,3007,0.742469136
E02002033,3190,2581,0.809090909
E02002034,3724,2743,0.736573577
E02002035,2490,2107,0.846184739
E02002036,2773,1817,0.655247025
E02002037,2507,2014,0.803350618
E02002038,4231,3058,0.722760577
E02002039,2562,2119,0.827088212
E02002040,2510,2207,0.879282869
E02002041,2570,2221,0.864202335
E02002042,3361,2901,0.863135971
E02002043,3165,2265,0.71563981
E02002044,2834,2055,0.7251235
E02002045,3201,2246,0.701655733
E02002046,2031,1197,0.589364845
E02002047,2787,1785,0.640473628
E02002048,2635,2177,0.826185958
E02002049,2365,1746,0.738266385
E02002051,2041,1210,0.592846644
E02002052,4082,2647,0.648456639
E02002053,2477,1800,0.726685507
E02002054,2274,1752,0.770448549
E02002055,3519,2365,0.672065928
E02002056,3532,2103,0.595413364
E02002057,3655,2355,0.644322845
E02002058,4622,3182,0.68844656
E02002059,4244,2551,0.601083883
E02002060,2369,1377,0.581257915
E02002061,2052,1087,0.529727096
E02002062,2952,1374,0.465447154
E02002063,3583,2585,0.721462462
E02002064,4656,3316,0.712199313
E02002065,3774,2163,0.573131955
E02002066,2784,1669,0.599497126
E02002067,2190,1741,0.794977169
E02002068,4097,2029,0.49524042
E02002069,2917,1874,0.642440864
E02002070,3487,1790,0.513335245
E02002071,2610,1791,0.686206897
E02002072,3415,2405,0.704245974
E02002073,2867,1810,0.631321939
E02002074,3109,2203,0.70858797
E02002075,3593,2449,0.681603117
E02002076,4479,2967,0.662424648
E02002077,4282,3030,0.707613265
E02002078,2483,1959,0.788964962
E02002079,3375,2292,0.679111111
E02002080,2783,1948,0.699964068
E02002081,2369,1900,0.802026171
E02002082,2441,1467,0.600983204
E02002083,2339,1971,0.842667807
E02002084,2614,1604,0.613618975
E02002085,2593,1655,0.638256845
E02002086,2462,1340,0.544272949
E02002087,2684,1518,0.56557377
E02002088,4116,2378,0.577745384
E02002089,3084,2504,0.811932555
E02002090,2302,1923,0.835360556
E02002091,3160,2541,0.804113924
E02002092,3058,2285,0.747220405
E02002093,2836,2201,0.776093089
E02002094,2380,2090,0.878151261
E02002095,3613,3079,0.852200387
E02002096,4165,3427,0.822809124
E02002097,2860,2532,0.885314685
E02002098,3808,3052,0.801470588
E02002099,2687,2328,0.866393748
E02002101,2645,2122,0.802268431
E02002102,3474,2944,0.847438112
E02002103,2575,2199,0.853980583
E02002104,2399,2258,0.941225511
E02002105,3101,2898,0.934537246
E02002106,3888,3494,0.898662551
E02002107,2269,2145,0.945350375
E02002108,3867,3525,0.911559348
E02002109,3874,3661,0.945018069
E02002110,2689,2206,0.820379323
E02002111,2484,1736,0.698872786
E02002112,2219,1789,0.806219018
E02002113,2683,2106,0.784942229
E02002114,2642,2085,0.789174868
E02002115,2835,1885,0.664902998
E02002116,2849,2434,0.854334854
E02002117,2682,1925,0.717747949
E02002118,3019,1855,0.614441868
E02002119,2451,1949,0.795185639
E02002120,2386,2000,0.838222967
E02002121,2401,1482,0.617242815
E02002122,2006,1266,0.63110668
E02002123,2694,1949,0.72345954
E02002124,3161,2309,0.730465043
E02002125,2552,1870,0.732758621
E02002126,2656,1388,0.522590361
E02002127,3087,1815,0.587949466
E02002128,2386,1756,0.735959765
E02002129,2451,1945,0.793553652
E02002130,2540,1630,0.641732283
E02002131,3182,2783,0.874607165
E02002132,2559,1644,0.642438453
E02002133,3041,1987,0.653403486
E02002134,3308,2233,0.67503023
E02002135,2585,1522,0.588781431
E02002136,3093,2118,0.684772066
E02002137,2652,2362,0.890648567
E02002138,2313,1855,0.801988759
E02002139,3905,1922,0.492189501
E02002140,2936,1743,0.59366485
E02002141,2666,2435,0.913353338
E02002142,2443,1575,0.64469914
E02002143,3150,1860,0.59047619
E02002144,2498,2283,0.913931145
E02002145,2741,1727,0.630062021
E02002146,2257,1664,0.737261852
E02002147,3081,1919,0.622849724
E02002148,4539,3766,0.829698171
E02002149,4268,3079,0.721415183
E02002150,2259,1629,0.721115538
E02002151,2548,1725,0.67700157
E02002152,2337,1416,0.605905006
E02002153,3384,2277,0.67287234
E02002154,2270,1549,0.682378855
E02002155,2129,1225,0.575387506
E02002156,3409,2463,0.722499267
E02002157,3170,2615,0.824921136
E02002158,3437,2291,0.666569683
E02002159,2215,1316,0.594130926
E02002160,2762,2062,0.746560463
E02002161,2426,1462,0.602638087
E02002162,3275,2614,0.798167939
E02002163,5059,2459,0.48606444
E02002164,2361,966,0.409148666
E02002165,3611,2165,0.599556909
E02002166,3839,2298,0.598593384
E02002167,2977,2391,0.803157541
E02002168,4422,2093,0.473315242
E02002169,3531,2992,0.847352025
E02002170,2461,1718,0.698090207
E02002171,3059,1941,0.634521085
E02002174,2975,2388,0.802689076
E02002175,2901,1597,0.550499828
E02002176,3338,2406,0.720790893
E02002177,3821,2206,0.577335776
E02002178,2722,2284,0.839088905
E02002179,2580,2174,0.842635659
E02002180,2666,1907,0.715303826
E02002181,2979,1846,0.619671031
E02002182,2515,1824,0.725248509
E02002183,2579,2253,0.873594416
E02002184,5556,4604,0.828653708
E02002185,2478,2145,0.865617433
E02002186,5450,4591,0.842385321
E02002187,2475,2208,0.892121212
E02002188,3173,2776,0.874881815
E02002189,2249,1752,0.779012895
E02002190,4222,2594,0.614400758
E02002191,3523,2037,0.578200397
E02002192,3910,3439,0.879539642
E02002193,2828,1442,0.50990099
E02002194,3107,2189,0.70453814
E02002195,2766,2400,0.867678959
E02002196,2622,2176,0.829900839
E02002197,4019,2847,0.70838517
E02002198,3766,2881,0.765002655
E02002199,2804,2436,0.868758916
E02002200,4032,3007,0.74578373
E02002201,5203,3865,0.742840669
E02002202,3408,2140,0.627934272
E02002203,3285,2051,0.62435312
E02002204,4900,4188,0.854693878
E02002205,4476,3695,0.825513852
E02002206,3427,2605,0.760140064
E02002207,2307,1574,0.682271348
E02002208,3235,2193,0.677897991
E02002209,2283,1329,0.582128778
E02002210,2824,2221,0.786473088
E02002211,2064,1593,0.771802326
E02002212,2260,1646,0.728318584
E02002213,2917,2387,0.818306479
E02002214,2404,1861,0.774126456
E02002215,2733,1856,0.679107208
E02002216,2700,1399,0.518148148
E02002217,2995,1817,0.606677796
E02002218,3685,2528,0.686024423
E02002219,2152,1308,0.607806691
E02002220,2561,1593,0.622022647
E02002221,4961,1849,0.372707116
E02002222,2944,1938,0.658288043
E02002223,2216,1279,0.577166065
E02002224,2803,1567,0.559043882
E02002225,3448,2658,0.770881671
E02002226,3478,1743,0.501150086
E02002227,2444,1044,0.427168576
E02002228,2824,1507,0.533640227
E02002229,3152,2335,0.740799492
E02002230,3332,1347,0.404261705
E02002231,4442,3256,0.733003152
E02002232,2516,1425,0.566375199
E02002233,2695,1419,0.526530612
E02002234,3192,1370,0.429197995
E02002235,2438,1347,0.552502051
E02002236,2493,1760,0.705976735
E02002237,3258,2383,0.731430325
E02002238,2546,1479,0.580911233
E02002239,4000,2852,0.713
E02002240,4423,3531,0.798326927
E02002241,4897,3325,0.678987135
E02002242,3369,2602,0.772336005
E02002243,4047,2855,0.705460835
E02002244,2525,2012,0.796831683
E02002245,2441,1334,0.546497337
E02002246,4183,3534,0.844848195
E02002247,4310,3288,0.76287703
E02002248,3180,2004,0.630188679
E02002249,2385,1408,0.590356394
E02002250,3805,2978,0.782654402
E02002251,3869,2023,0.522874128
E02002252,2570,2018,0.785214008
E02002253,2957,1869,0.63205952
E02002254,2497,2155,0.863035643
E02002255,2485,1235,0.496981891
E02002256,4156,2876,0.69201155
E02002257,2074,1286,0.620057859
E02002258,4005,3059,0.763795256
E02002259,2902,2196,0.756719504
E02002260,4301,2914,0.677516857
E02002261,3655,2685,0.734610123
E02002262,3689,2633,0.713743562
E02002263,2881,2202,0.764317945
E02002264,3030,2474,0.81650165
E02002265,2512,1842,0.733280255
E02002266,2556,2029,0.793818466
E02002267,3510,2647,0.754131054
E02002268,4519,3129,0.692409825
E02002269,4106,3436,0.83682416
E02002270,3518,3136,0.891415577
E02002271,3040,2567,0.844407895
E02002272,4107,2981,0.725833942
E02002273,2702,2221,0.821983716
E02002274,2879,2407,0.836054185
E02002275,3942,2837,0.719685439
E02002276,2976,2253,0.757056452
E02002277,2527,1938,0.766917293
E02002278,2680,2016,0.752238806
E02002279,2780,1915,0.688848921
E02002280,2274,1292,0.568161829
E02002281,4340,3198,0.736866359
E02002282,2536,1814,0.715299685
E02002283,2413,1658,0.687111479
E02002284,2648,2030,0.766616314
E02002285,3356,2804,0.835518474
E02002286,2372,1588,0.669477234
E02002287,2732,1673,0.612371889
E02002288,3831,2659,0.694074654
E02002289,2126,1399,0.658043274
E02002290,2697,2261,0.838338895
E02002291,2709,2164,0.798818752
E02002292,2391,1882,0.787118361
E02002293,2624,1585,0.604039634
E02002294,3102,2210,0.712443585
E02002295,2951,1592,0.539478143
E02002296,3114,2399,0.770391779
E02002297,2773,2314,0.834475298
E02002298,2878,2088,0.725503822
E02002299,2852,1315,0.461079944
E02002300,2931,2338,0.797679973
E02002301,2839,1669,0.587883057
E02002302,2650,2301,0.868301887
E02002303,2880,2027,0.703819444
E02002304,2972,1781,0.599259758
E02002305,2639,1452,0.550208412
E02002306,2692,2302,0.8551263
E02002307,2623,1849,0.704918033
E02002308,2876,2224,0.773296245
E02002309,2838,1626,0.572938689
E02002310,2713,1709,0.629929967
E02002311,2812,2083,0.740753912
E02002312,3054,1736,0.56843484
E02002313,2544,1416,0.556603774
E02002314,2624,1982,0.755335366
E02002315,3028,2078,0.686261559
E02002316,2758,2311,0.837926033
E02002317,2920,1861,0.637328767
E02002318,2883,1875,0.650364204
E02002319,2876,2204,0.766342142
E02002320,3097,2225,0.718437197
E02002321,2569,2235,0.869988322
E02002322,2781,2225,0.800071917
E02002323,3612,3008,0.832779623
E02002324,2811,2393,0.85129847
E02002325,3567,2850,0.798990749
E02002326,2509,2275,0.906735751
E02002327,4086,3628,0.887909936
E02002328,2942,2528,0.859279402
E02002329,5047,4399,0.871606895
E02002330,2785,2536,0.91059246
E02002331,2679,2039,0.76110489
E02002332,2534,1976,0.779794791
E02002333,3625,2817,0.777103448
E02002334,3156,2753,0.872306717
E02002335,3154,2920,0.925808497
E02002336,2826,2605,0.921797594
E02002337,2830,2571,0.908480565
E02002338,2888,2327,0.805747922
E02002339,2597,1858,0.715440893
E02002340,2536,1993,0.785883281
E02002341,3016,2742,0.909151194
E02002342,2577,2029,0.787349631
E02002343,2419,2100,0.868127325
E02002344,3427,2914,0.85030639
E02002345,2334,2085,0.893316195
E02002346,2727,1943,0.712504584
E02002347,2734,1703,0.622896854
E02002348,2727,1938,0.710671067
E02002349,2540,2075,0.816929134
E02002350,2563,2194,0.856028092
E02002351,2265,2066,0.91214128
E02002352,3116,2542,0.815789474
E02002353,2225,1937,0.870561798
E02002354,3328,2481,0.745492788
E02002356,3217,2734,0.849860118
E02002357,3585,2747,0.766248257
E02002358,3159,2245,0.710667933
E02002359,2773,2464,0.888568338
E02002360,2954,2221,0.751861882
E02002361,2462,1785,0.725020309
E02002362,3562,2025,0.568500842
E02002363,3300,2563,0.776666667
E02002364,2699,1324,0.490552056
E02002366,2844,2261,0.795007032
E02002367,2603,1286,0.494045332
E02002368,3537,3099,0.876166243
E02002369,2928,1636,0.558743169
E02002370,2880,1612,0.559722222
E02002371,4149,2045,0.492889853
E02002373,2670,1740,0.651685393
E02002374,2979,1844,0.618999664
E02002375,2296,1317,0.573606272
E02002376,2455,1248,0.508350305
E02002377,2282,1057,0.463190184
E02002379,2044,1027,0.502446184
E02002380,2353,1670,0.709732257
E02002381,2891,2139,0.739882394
E02002382,2302,953,0.413987837
E02002383,2332,1139,0.488421955
E02002384,4306,1407,0.326753367
E02002385,3419,1703,0.498098859
E02002386,3853,2895,0.751362575
E02002387,2435,1415,0.58110883
E02002388,3196,1997,0.624843554
E02002389,2906,1357,0.4669649
E02002390,2665,1811,0.679549719
E02002391,3505,2679,0.764336662
E02002392,2352,871,0.370323129
E02002393,3870,1194,0.308527132
E02002394,3198,1138,0.355847405
E02002395,2440,1991,0.815983607
E02002396,3822,2499,0.653846154
E02002397,3277,2263,0.690570644
E02002398,3256,2539,0.779791155
E02002399,2631,1495,0.56822501
E02002400,3641,1561,0.428728371
E02002401,2541,1193,0.469500197
E02002402,2396,2083,0.869365609
E02002403,2633,1996,0.758070642
E02002404,4432,1841,0.415388087
E02002405,3228,2493,0.772304833
E02002406,2850,2473,0.867719298
E02002407,2835,1442,0.508641975
E02002408,3268,2390,0.731334149
E02002409,2633,1847,0.7014812
E02002410,3051,2058,0.67453294
E02002411,3502,1529,0.436607653
E02002412,3051,2280,0.747295969
E02002414,2682,1057,0.394108874
E02002415,2599,945,0.363601385
E02002416,2794,2152,0.770221904
E02002417,2727,2250,0.825082508
E02002418,3038,2460,0.809743252
E02002419,3503,1765,0.50385384
E02002420,3299,2167,0.656865717
E02002421,2609,1172,0.449214258
E02002422,2662,2192,0.823441022
E02002423,2482,1478,0.59548751
E02002424,3271,2530,0.773463773
E02002425,3685,3041,0.825237449
E02002426,3240,2655,0.819444444
E02002427,3021,2192,0.725587554
E02002428,3110,2108,0.677813505
E02002429,3523,2855,0.810388873
E02002430,3017,1442,0.477958237
E02002431,3591,2531,0.7048176
E02002432,2919,2324,0.79616307
E02002433,3182,1995,0.626964173
E02002434,3542,2980,0.84133258
E02002435,3269,2630,0.804527378
E02002436,2831,2217,0.783115507
E02002437,2445,2185,0.893660532
E02002438,3273,2030,0.620226092
E02002439,3639,2313,0.63561418
E02002440,3225,2296,0.711937984
E02002441,3825,2552,0.667189542
