MSOA_code,under_70,over70-74,over75-79,over80,total
E02004437,952,466,288,387,2093
E02004438,965,299,201,455,1920
E02004439,846,225,153,206,1430
E02004440,999,260,217,394,1870
E02004441,1102,418,288,292,2100
E02004442,821,262,175,232,1490
E02004443,1288,354,243,431,2316
E02004444,1027,426,283,364,2100
E02004445,875,346,250,271,1742
E02004446,916,471,292,337,2016
E02004447,933,469,351,347,2100
E02004448,835,425,340,434,2034
E02004449,1075,413,343,384,2215
E02004450,716,459,315,362,1852
E02004451,1269,591,453,591,2904
E02004452,1109,584,387,570,2650
E02004453,770,274,256,313,1613
E02004454,998,409,305,423,2135
E02004455,892,463,317,305,1977
E02004456,1045,370,282,320,2017
E02004457,1155,471,318,443,2387
E02004458,1007,454,333,465,2259
E02004459,1527,694,457,641,3319
E02004460,1044,532,398,385,2359
E02004461,620,262,137,130,1149
E02004462,1221,492,371,575,2659
E02004463,1184,471,361,475,2491
E02004464,911,649,540,715,2815
E02004465,543,366,292,507,1708
E02004466,956,353,274,480,2063
E02004467,870,380,262,361,1873
E02004468,1107,534,490,838,2969
E02004469,789,375,274,378,1816
E02004470,952,383,288,586,2209
E02004471,950,356,257,445,2008
E02004472,709,353,188,396,1646
E02004473,969,456,367,501,2293
E02004474,1152,510,419,566,2647
E02004475,884,430,360,417,2091
E02004476,1032,537,420,530,2519
E02004477,935,471,372,532,2310
E02004478,893,381,296,552,2122
E02004479,1012,514,396,544,2466
