MSOA,White%,Mixed%,Asian%,Black%,Other%
E02005319,0.9675,0.0086,0.0211,0.0012,0.0016
E02005320,0.9907,0.0044,0.0042,0.0003,0.0003
E02005321,0.9558,0.0049,0.0376,0.0011,0.0006
E02005322,0.9888,0.004,0.0057,0.0003,0.0011
E02005323,0.9895,0.0044,0.0042,0.0009,0.001
E02005324,0.9814,0.0092,0.0075,0.0015,0.0005
E02005325,0.9851,0.0056,0.0067,0.0012,0.0014
E02005326,0.9806,0.0075,0.0095,0.0019,0.0006
E02005327,0.9881,0.0049,0.0037,0.0017,0.0015
E02005328,0.9873,0.0044,0.0068,0.0011,0.0004
E02005329,0.9848,0.0081,0.0053,0.0011,0.0007
E02005330,0.988,0.0062,0.0035,0.0011,0.0012
E02005331,0.9809,0.0077,0.0066,0.0024,0.0025
E02005332,0.9825,0.0059,0.0098,0.0012,0.0005
E02001327,0.9775,0.016,0.0046,0.0019,0.0001
E02001328,0.9811,0.0114,0.0038,0.003,0.0007
E02001329,0.9779,0.0142,0.0051,0.0022,0.0005
E02001330,0.9756,0.0108,0.0063,0.0055,0.0017
E02001331,0.9828,0.0107,0.0039,0.0016,0.001
E02001332,0.9661,0.0175,0.0057,0.0083,0.0024
E02001333,0.9706,0.0118,0.0141,0.0021,0.0013
E02001334,0.9803,0.0107,0.0059,0.0028,0.0003
E02001335,0.9478,0.0115,0.0334,0.0046,0.0027
E02001336,0.9775,0.0136,0.0048,0.0031,0.001
E02001337,0.9622,0.013,0.0201,0.0029,0.0019
E02001338,0.9756,0.0143,0.0057,0.0015,0.0029
E02001339,0.9715,0.0148,0.0111,0.0022,0.0003
E02001340,0.9774,0.0127,0.0062,0.0021,0.0016
E02001341,0.9834,0.0096,0.0042,0.0023,0.0004
E02001342,0.984,0.0078,0.0042,0.0029,0.0011
E02001343,0.9706,0.0093,0.0149,0.0037,0.0015
E02001344,0.9547,0.0163,0.0221,0.0045,0.0024
E02001345,0.9666,0.0124,0.0105,0.0059,0.0046
E02001346,0.9496,0.027,0.0133,0.0079,0.0021
E02001347,0.93,0.0101,0.0459,0.0072,0.0069
E02001348,0.9719,0.0075,0.0158,0.0019,0.0029
E02001349,0.9714,0.0089,0.0097,0.0053,0.0048
E02001350,0.9346,0.0104,0.0321,0.0188,0.0041
E02001351,0.9496,0.0123,0.0206,0.0148,0.0027
E02001352,0.9386,0.0123,0.0185,0.0191,0.0115
E02001353,0.9399,0.0149,0.0338,0.0062,0.0052
E02001354,0.9687,0.0105,0.008,0.0093,0.0034
E02001355,0.9706,0.0083,0.0098,0.0071,0.0044
E02001356,0.9538,0.0106,0.0145,0.0167,0.0045
E02001357,0.9663,0.0113,0.0106,0.0082,0.0036
E02001358,0.9653,0.0086,0.0156,0.0074,0.0031
E02001359,0.9301,0.0113,0.0433,0.0132,0.0021
E02001360,0.9427,0.0133,0.0175,0.0199,0.0067
E02001361,0.973,0.0101,0.0091,0.003,0.0049
E02001362,0.977,0.008,0.0095,0.0035,0.002
E02001363,0.9343,0.015,0.0272,0.0204,0.0031
E02001364,0.9298,0.0181,0.0201,0.0186,0.0134
E02001365,0.9186,0.0158,0.0245,0.0305,0.0106
E02001366,0.9367,0.017,0.0246,0.0127,0.009
E02001367,0.9631,0.0069,0.0174,0.0044,0.0082
E02001368,0.9519,0.012,0.0118,0.0145,0.0097
E02001369,0.9114,0.0209,0.0342,0.0187,0.0148
E02001370,0.8943,0.0267,0.0294,0.0296,0.02
E02001371,0.9149,0.0181,0.0504,0.013,0.0036
E02001372,0.9592,0.0109,0.0161,0.0109,0.0029
E02001373,0.9248,0.0233,0.0254,0.0137,0.0128
E02001374,0.8219,0.0335,0.0377,0.0748,0.0321
E02001375,0.9448,0.0167,0.0303,0.0047,0.0035
E02001376,0.7238,0.0365,0.0863,0.1258,0.0276
E02001377,0.6258,0.0385,0.2253,0.0564,0.0539
E02001378,0.8979,0.0342,0.0386,0.0154,0.0138
E02001380,0.949,0.0191,0.0197,0.006,0.0062
E02001381,0.769,0.055,0.077,0.0631,0.0359
E02001382,0.9338,0.0127,0.0434,0.008,0.0021
E02001383,0.6243,0.0968,0.1191,0.0967,0.0632
E02001384,0.8032,0.0471,0.0801,0.0448,0.0248
E02001385,0.3548,0.104,0.0918,0.2332,0.2163
E02001386,0.9544,0.0216,0.0134,0.007,0.0036
E02001387,0.926,0.0273,0.029,0.0113,0.0064
E02001388,0.8933,0.0377,0.0361,0.019,0.0139
E02001389,0.7272,0.0703,0.0558,0.0852,0.0615
E02001390,0.7499,0.0621,0.0488,0.0798,0.0594
E02001391,0.9633,0.0174,0.0074,0.0111,0.0008
E02001392,0.9363,0.0154,0.0355,0.0061,0.0066
E02001393,0.9118,0.0142,0.0522,0.0064,0.0153
E02001394,0.8852,0.0375,0.0437,0.0196,0.014
E02001395,0.9249,0.0239,0.0322,0.0111,0.0079
E02001396,0.912,0.0295,0.0305,0.0136,0.0144
E02001397,0.9522,0.0176,0.0204,0.0041,0.0058
E02001398,0.8824,0.0369,0.0367,0.0304,0.0135
E02001399,0.9458,0.0214,0.0223,0.0052,0.0052
E02001400,0.9194,0.0266,0.0373,0.0097,0.007
E02001401,0.9527,0.015,0.0249,0.0053,0.002
E02001402,0.9361,0.0206,0.0279,0.0126,0.0027
E02001403,0.9433,0.0242,0.0174,0.0063,0.0088
E02001404,0.9518,0.0172,0.0136,0.0145,0.0029
E02001405,0.9471,0.0235,0.0086,0.018,0.0027
E02006932,0.7357,0.0245,0.1759,0.0249,0.039
E02006933,0.8168,0.0381,0.0752,0.0296,0.0403
E02006934,0.8189,0.0246,0.0857,0.0261,0.0446
E02001429,0.9853,0.0073,0.0044,0.0019,0.001
E02001430,0.9777,0.0113,0.0071,0.0013,0.0025
E02001431,0.9712,0.0111,0.0115,0.0036,0.0026
E02001432,0.9272,0.0238,0.0274,0.0099,0.0117
E02001433,0.9723,0.011,0.0114,0.0042,0.0012
E02001434,0.9712,0.0118,0.0119,0.0024,0.0028
E02001435,0.9468,0.0161,0.0262,0.0043,0.0066
E02001436,0.9465,0.0154,0.0247,0.0074,0.0061
E02001437,0.97,0.0104,0.013,0.003,0.0035
E02001438,0.976,0.0123,0.0063,0.0025,0.0029
E02001439,0.977,0.0119,0.0091,0.0013,0.0008
E02001440,0.9842,0.0045,0.0089,0.0015,0.0009
E02001441,0.9808,0.0075,0.0075,0.0029,0.0014
E02001442,0.9861,0.0066,0.0053,0.001,0.001
E02001443,0.9809,0.0092,0.0074,0.0018,0.0007
E02001444,0.978,0.0094,0.0087,0.0028,0.001
E02001445,0.9826,0.0075,0.0074,0.0019,0.0006
E02001446,0.9877,0.0053,0.0045,0.002,0.0004
E02001447,0.9804,0.0091,0.0079,0.0018,0.0008
E02001448,0.9908,0.0029,0.0049,0.0009,0.0006
E02001449,0.9828,0.0078,0.0076,0.0009,0.001
E02001450,0.9612,0.0105,0.0213,0.0033,0.0038
E02001451,0.9887,0.0071,0.0024,0.0015,0.0003
E02001452,0.9769,0.011,0.0053,0.0044,0.0024
E02001453,0.9832,0.0085,0.0054,0.0022,0.0007
E02001454,0.9858,0.0077,0.0037,0.0023,0.0005
E02001455,0.9871,0.0054,0.005,0.0021,0.0004
E02001456,0.9742,0.0142,0.0082,0.0012,0.0021
E02001457,0.9824,0.0092,0.0046,0.003,0.0009
E02001458,0.9649,0.0159,0.012,0.0044,0.0027
E02001459,0.9785,0.0116,0.0065,0.0018,0.0017
E02001460,0.9625,0.0118,0.0125,0.0039,0.0093
E02001461,0.9897,0.0055,0.0044,0.0003,0
E02001462,0.973,0.0162,0.0054,0.0043,0.0011
E02001463,0.9828,0.0079,0.0069,0.0006,0.0019
E02001464,0.9715,0.0111,0.0111,0.0026,0.0038
E02001465,0.9584,0.0106,0.0149,0.0042,0.0119
E02001466,0.9757,0.0072,0.0106,0.0052,0.0013
E02001406,0.9875,0.0044,0.0055,0.001,0.0015
E02001407,0.9877,0.0063,0.0044,0.0006,0.001
E02001408,0.989,0.0052,0.0037,0.0009,0.0012
E02001409,0.9891,0.0045,0.0046,0.0005,0.0013
E02001410,0.9854,0.0015,0.0094,0.0027,0.0009
E02001411,0.9886,0.0037,0.0046,0.0014,0.0017
E02001412,0.9888,0.0041,0.006,0.0007,0.0005
E02001413,0.9846,0.004,0.0092,0.0003,0.0019
E02001414,0.9908,0.0034,0.0035,0.0013,0.0009
E02001415,0.97,0.0103,0.0147,0.0021,0.0029
E02001416,0.9863,0.0066,0.0046,0.0022,0.0003
E02001417,0.9829,0.007,0.006,0.0019,0.0022
E02001418,0.9775,0.0078,0.0126,0.0013,0.0008
E02001419,0.9685,0.0069,0.0217,0.0018,0.0012
E02001420,0.9736,0.012,0.011,0.0023,0.0012
E02001421,0.9829,0.0066,0.0076,0.0017,0.0012
E02001422,0.9774,0.0091,0.011,0.0014,0.0011
E02001423,0.9696,0.0096,0.0179,0.0017,0.0011
E02001424,0.9648,0.0092,0.0212,0.0023,0.0025
E02001425,0.9865,0.0075,0.0049,0.0007,0.0005
E02001426,0.978,0.0065,0.0124,0.0009,0.0022
E02001427,0.9856,0.0067,0.005,0.002,0.0008
E02001428,0.9567,0.0088,0.0317,0.0004,0.0024
E02001467,0.9697,0.015,0.0122,0.0023,0.0009
E02001468,0.9652,0.0154,0.0133,0.0036,0.0026
E02001469,0.9746,0.0105,0.0124,0.0019,0.0006
E02001470,0.9815,0.009,0.0065,0.0026,0.0005
E02001471,0.9662,0.0144,0.0138,0.0041,0.0015
E02001472,0.9783,0.0091,0.0086,0.0031,0.0008
E02001473,0.9706,0.011,0.0155,0.0025,0.0004
E02001474,0.9652,0.0123,0.0162,0.0034,0.003
E02001475,0.9642,0.0123,0.0208,0.0011,0.0016
E02001476,0.9639,0.016,0.0138,0.0038,0.0025
E02001477,0.9695,0.0149,0.0124,0.0025,0.0007
E02001478,0.981,0.0066,0.0111,0.0009,0.0004
E02001479,0.9815,0.005,0.0094,0.0015,0.0026
E02001480,0.9729,0.0101,0.0129,0.0018,0.0023
E02001481,0.9576,0.0128,0.025,0.0028,0.0017
E02001482,0.9417,0.0155,0.0373,0.0034,0.0021
E02001483,0.985,0.0058,0.0068,0.0016,0.0008
E02001484,0.9708,0.0052,0.0213,0.0014,0.0013
E02001485,0.9597,0.0133,0.0241,0.0009,0.0019
E02001486,0.9607,0.0116,0.0232,0.0012,0.0033
E02001487,0.9241,0.011,0.0595,0.0033,0.0022
E02001488,0.9676,0.0124,0.0142,0.0039,0.002
E02001489,0.9747,0.0087,0.0129,0.001,0.0028
E02001490,0.9618,0.0086,0.0279,0.0013,0.0005
E02001491,0.964,0.0104,0.0199,0.004,0.0018
E02001492,0.9699,0.0152,0.0089,0.0019,0.0041
E02001493,0.9627,0.0118,0.0211,0.0033,0.0011
E02001494,0.9633,0.0141,0.0176,0.0007,0.0044
E02001495,0.9674,0.0113,0.0186,0.0017,0.001
E02001496,0.965,0.0101,0.0202,0.0012,0.0035
E02001497,0.9762,0.0097,0.012,0.0005,0.0016
E02001498,0.972,0.0096,0.0148,0.0022,0.0013
E02001499,0.9864,0.0057,0.0049,0.0022,0.0007
E02001500,0.9782,0.0083,0.012,0.0007,0.0008
E02001501,0.9772,0.0077,0.0112,0.0033,0.0008
E02001502,0.9766,0.0083,0.0115,0.0024,0.0012
E02001503,0.9773,0.0096,0.0109,0.0013,0.0009
E02001504,0.9764,0.0063,0.0102,0.0029,0.0042
E02001505,0.9837,0.0061,0.0076,0.0022,0.0005
E02001506,0.9722,0.0081,0.0156,0.0019,0.0022
E02001507,0.9875,0.0048,0.0064,0.0011,0.0001
E02001508,0.9842,0.0074,0.0061,0.0014,0.001
E02002684,0.9917,0.0041,0.0026,0.0005,0.001
E02002685,0.989,0.0053,0.0051,0.0001,0.0005
E02002686,0.98,0.0091,0.0091,0.0013,0.0005
E02002687,0.9846,0.0066,0.0038,0.0045,0.0005
E02002688,0.9785,0.0101,0.0092,0.0021,0.0002
E02002689,0.9913,0.0041,0.0041,0.0002,0.0003
E02002691,0.9927,0.005,0.0016,0.0004,0.0004
E02002692,0.9655,0.0124,0.0116,0.0084,0.0022
E02002693,0.9939,0.0032,0.0022,0.0006,0.0001
E02002694,0.9825,0.006,0.0088,0.0016,0.0011
E02002695,0.9885,0.0053,0.0036,0.0011,0.0015
E02002696,0.98,0.003,0.0143,0.0023,0.0003
E02002697,0.9871,0.0058,0.0058,0.0007,0.0007
E02002698,0.986,0.005,0.0053,0.0024,0.0013
E02002699,0.9808,0.007,0.0103,0.0002,0.0017
E02002700,0.9795,0.0095,0.0087,0.0016,0.0006
E02002701,0.9924,0.0046,0.0016,0.0005,0.0009
E02002702,0.9761,0.0091,0.0115,0.0023,0.0009
E02002703,0.9735,0.0093,0.0123,0.0024,0.0025
E02002704,0.9925,0.0035,0.0025,0.0004,0.0011
E02002705,0.9633,0.0085,0.0209,0.0032,0.0041
E02002706,0.9739,0.0081,0.0107,0.0029,0.0043
E02002707,0.9659,0.0112,0.0184,0.0041,0.0005
E02002708,0.96,0.0119,0.017,0.0056,0.0055
E02002709,0.989,0.0054,0.0042,0.0007,0.0007
E02002710,0.9699,0.0115,0.0113,0.0033,0.004
E02002711,0.9694,0.007,0.0202,0.0016,0.0018
E02002712,0.9904,0.0047,0.0039,0.0008,0.0003
E02002714,0.9897,0.0036,0.0042,0.0012,0.0013
E02002715,0.9627,0.0071,0.0219,0.0042,0.0041
E02002716,0.9918,0.0039,0.0028,0.0012,0.0004
E02002717,0.9796,0.0084,0.0084,0.0009,0.0026
E02002718,0.9587,0.0097,0.0255,0.0033,0.0028
E02002719,0.9585,0.0068,0.0287,0.0017,0.0044
E02002720,0.9864,0.0044,0.0076,0.0004,0.0011
E02002721,0.99,0.0063,0.0027,0.0008,0.0003
E02002722,0.9881,0.0055,0.0047,0.001,0.0007
E02002723,0.9759,0.009,0.0097,0.0014,0.0039
E02002724,0.983,0.0091,0.0055,0.0011,0.0013
E02002725,0.9933,0.0044,0.0018,0.0002,0.0003
E02006814,0.9827,0.0097,0.0056,0.0008,0.0012
E02006891,0.9917,0.0035,0.0039,0.0005,0.0004
E02006892,0.9841,0.0068,0.0049,0.0015,0.0026
E02002652,0.9636,0.0102,0.01,0.0094,0.0067
E02002653,0.9839,0.0088,0.002,0.0035,0.0018
E02002654,0.9512,0.0177,0.0079,0.0175,0.0058
E02002655,0.9882,0.0066,0.0021,0.0015,0.0016
E02002656,0.9733,0.0088,0.0099,0.0045,0.0035
E02002657,0.983,0.0069,0.0045,0.0053,0.0003
E02002658,0.9885,0.0036,0.0044,0.0028,0.0007
E02002659,0.9422,0.0144,0.0155,0.0213,0.0065
E02002660,0.9816,0.0065,0.0073,0.0035,0.0012
E02002661,0.978,0.0104,0.0054,0.0038,0.0024
E02002662,0.9824,0.0061,0.0065,0.0033,0.0017
E02002663,0.8263,0.0194,0.1003,0.0356,0.0184
E02002664,0.9878,0.0045,0.0046,0.0009,0.0022
E02002665,0.9336,0.0134,0.0245,0.0129,0.0156
E02002666,0.8285,0.0202,0.0971,0.0357,0.0185
E02002667,0.9755,0.0087,0.0111,0.0035,0.0011
E02002668,0.9794,0.0096,0.0046,0.0034,0.003
E02002669,0.8515,0.0271,0.0854,0.0203,0.0157
E02002670,0.9741,0.0085,0.0079,0.0069,0.0027
E02002671,0.9699,0.0106,0.0094,0.0069,0.0031
E02002672,0.9801,0.0099,0.0066,0.003,0.0004
E02002673,0.9717,0.0086,0.0083,0.0087,0.0027
E02002674,0.9864,0.0068,0.0042,0.001,0.0016
E02002675,0.8303,0.0356,0.069,0.0384,0.0267
E02002676,0.9177,0.0202,0.0423,0.0086,0.0112
E02002677,0.905,0.0154,0.0511,0.0138,0.0147
E02002678,0.942,0.0127,0.0293,0.0095,0.0065
E02002679,0.9767,0.0077,0.0125,0.0023,0.0008
E02002680,0.7961,0.0377,0.0755,0.037,0.0538
E02002681,0.8982,0.0242,0.0419,0.0202,0.0154
E02002682,0.9501,0.0128,0.018,0.0112,0.0079
E02006813,0.9757,0.0073,0.0107,0.0027,0.0036
E02002726,0.9851,0.0057,0.0054,0.0017,0.0021
E02002727,0.9572,0.011,0.0178,0.0058,0.0081
E02002728,0.9627,0.0132,0.0184,0.0031,0.0026
E02002729,0.9849,0.0077,0.0044,0.0003,0.0027
E02002730,0.9759,0.0114,0.0078,0.002,0.0029
E02002731,0.9766,0.0081,0.0094,0.0022,0.0037
E02002732,0.9735,0.0066,0.0165,0.0025,0.0009
E02002733,0.9754,0.0053,0.0145,0.0023,0.0025
E02002734,0.9817,0.0074,0.0074,0.0025,0.001
E02002735,0.9707,0.008,0.0153,0.0022,0.0037
E02002736,0.969,0.0077,0.0163,0.0046,0.0024
E02002737,0.9825,0.0063,0.0085,0.0011,0.0016
E02002738,0.9792,0.008,0.008,0.0032,0.0017
E02002739,0.9776,0.0064,0.0122,0.002,0.0018
E02002740,0.9834,0.0054,0.0086,0.0011,0.0016
E02002741,0.9393,0.0123,0.0385,0.0051,0.0048
E02002742,0.9663,0.0077,0.0193,0.0016,0.0051
E02002743,0.9905,0.0035,0.0044,0.0011,0.0005
E02002744,0.9826,0.0074,0.0052,0.0029,0.0018
E02002745,0.9854,0.0047,0.006,0.0024,0.0014
E02002746,0.9618,0.0069,0.0239,0.0027,0.0046
E02002747,0.968,0.0046,0.0185,0.0033,0.0056
E02002748,0.979,0.0044,0.0105,0.0026,0.0035
E02002749,0.9865,0.0061,0.0055,0.001,0.0008
E02002750,0.9873,0.0067,0.0035,0.0019,0.0006
E02002751,0.9896,0.0054,0.0039,0.0006,0.0005
E02002752,0.9828,0.0047,0.0101,0.001,0.0013
E02002753,0.9692,0.0094,0.0189,0.0015,0.001
E02002754,0.9856,0.0045,0.0083,0.0013,0.0002
E02002755,0.8663,0.0122,0.1053,0.0124,0.0038
E02002756,0.8004,0.017,0.1496,0.0183,0.0147
E02002757,0.8502,0.0087,0.1298,0.004,0.0073
E02002758,0.9597,0.0066,0.0276,0.0022,0.0039
E02002759,0.98,0.006,0.011,0.0011,0.0018
E02002760,0.9643,0.0077,0.0238,0.0027,0.0015
E02002761,0.9831,0.0063,0.0069,0.0015,0.0022
E02002762,0.9727,0.0085,0.0148,0.0013,0.0027
E02002763,0.9695,0.0088,0.0175,0.0026,0.0016
E02002764,0.9746,0.0088,0.0132,0.0019,0.0015
E02002765,0.9765,0.0089,0.0113,0.0011,0.0022
E02002766,0.9692,0.0073,0.0187,0.0027,0.0021
E02002767,0.9788,0.0069,0.0115,0.0018,0.001
E02002768,0.984,0.0048,0.0081,0.0011,0.0019
E02002769,0.98,0.0053,0.0113,0.0014,0.0021
E02002770,0.9845,0.0057,0.0081,0.0011,0.0006
E02002771,0.9886,0.0035,0.0061,0.0014,0.0004
E02002772,0.9672,0.0074,0.0178,0.0056,0.002
E02002773,0.9786,0.0068,0.0094,0.0045,0.0007
E02002774,0.9846,0.0051,0.0096,0.0002,0.0006
E02002775,0.9774,0.0085,0.0119,0.0016,0.0007
E02002776,0.9746,0.0074,0.0141,0.0015,0.0023
E02002777,0.9561,0.011,0.0245,0.0039,0.0045
E02002778,0.9575,0.0097,0.0262,0.0042,0.0024
E02002779,0.9607,0.0083,0.0223,0.0056,0.003
E02002780,0.9157,0.0117,0.0532,0.0122,0.0073
E02002781,0.9046,0.0196,0.0547,0.0085,0.0125
E02002782,0.9743,0.0101,0.0129,0.002,0.0006
E02002783,0.978,0.0091,0.0086,0.0026,0.0019
E02002784,0.8895,0.0195,0.0688,0.0112,0.011
E02002785,0.9416,0.0124,0.0367,0.0023,0.007
E02002786,0.8994,0.0175,0.0619,0.0116,0.0096
E02002787,0.9725,0.0104,0.0118,0.0036,0.0018
E02002788,0.9363,0.0154,0.0333,0.0098,0.0053
E02002789,0.9693,0.0099,0.0129,0.0059,0.002
E02002790,0.8712,0.0185,0.0839,0.0138,0.0126
E02002791,0.9882,0.005,0.0057,0.0008,0.0003
E02002792,0.9659,0.0126,0.0159,0.003,0.0026
E02002793,0.9696,0.0105,0.0136,0.0041,0.0022
E02002794,0.8311,0.0233,0.1252,0.0088,0.0116
E02002795,0.9801,0.0079,0.0074,0.0041,0.0005
E02005742,0.9907,0.0057,0.0027,0.0007,0.0003
E02005743,0.9908,0.0031,0.0045,0.001,0.0006
E02005744,0.9849,0.0049,0.0087,0.0007,0.0008
E02005745,0.9846,0.0035,0.0094,0.0004,0.0021
E02005746,0.9721,0.0075,0.0189,0.0012,0.0003
E02005747,0.8967,0.0138,0.0839,0.0041,0.0015
E02005748,0.9877,0.0068,0.0047,0.0005,0.0003
E02005749,0.9816,0.0074,0.0102,0.0005,0.0003
E02005750,0.9866,0.0063,0.0048,0.0011,0.0011
E02005751,0.9857,0.0064,0.0048,0.0014,0.0017
E02005752,0.9872,0.005,0.0056,0.0006,0.0017
E02005753,0.9729,0.0094,0.0137,0.0024,0.0016
E02005754,0.983,0.006,0.0076,0.0029,0.0004
E02005755,0.9915,0.004,0.0032,0.0009,0.0005
E02005756,0.9816,0.0089,0.0043,0.004,0.0012
E02005757,0.9854,0.0064,0.0058,0.0017,0.0007
E02005758,0.9742,0.0072,0.0097,0.0048,0.0041
E02005759,0.9885,0.0058,0.0046,0.0005,0.0007
E02005760,0.987,0.0054,0.0042,0.0024,0.001
E02005761,0.9886,0.0068,0.0027,0.0009,0.0009
E02005762,0.9609,0.0124,0.0103,0.0121,0.0043
E02005763,0.9828,0.006,0.0035,0.0021,0.0055
E02005764,0.9747,0.0125,0.0078,0.0043,0.0008
E02005765,0.9868,0.0053,0.0053,0.0021,0.0005
E02005766,0.982,0.01,0.0038,0.0038,0.0005
E02005767,0.9854,0.008,0.0019,0.0031,0.0015
E02005768,0.9577,0.0126,0.0075,0.0153,0.007
E02005769,0.9755,0.0078,0.0127,0.0033,0.0006
E02005770,0.9675,0.0106,0.0112,0.0069,0.0039
E02005771,0.9446,0.0168,0.0236,0.0114,0.0035
E02005772,0.9789,0.0083,0.0094,0.0016,0.0018
E02005773,0.9214,0.0148,0.0452,0.0165,0.002
E02005774,0.9552,0.0148,0.022,0.0061,0.0019
E02005775,0.9166,0.0156,0.0436,0.0182,0.006
E02005776,0.9621,0.0065,0.0263,0.0024,0.0027
E02005777,0.9712,0.0105,0.0102,0.0059,0.0022
E02005778,0.9666,0.0099,0.0075,0.0075,0.0086
E02005779,0.9526,0.0168,0.0127,0.0156,0.0024
E02005780,0.9605,0.0142,0.0169,0.0054,0.003
E02005781,0.9789,0.0074,0.0087,0.0025,0.0025
E02005782,0.9872,0.0044,0.0046,0.0021,0.0017
E02005783,0.9779,0.0078,0.0111,0.0017,0.0015
E02005784,0.9634,0.0098,0.013,0.0112,0.0026
E02005785,0.8952,0.0179,0.0577,0.0223,0.0069
E02005786,0.9755,0.0039,0.0146,0.0047,0.0013
E02005787,0.9824,0.0053,0.0081,0.0031,0.0011
E02005788,0.9889,0.0059,0.0033,0.0017,0.0002
E02005789,0.9899,0.0058,0.0036,0.0005,0.0002
E02005790,0.9871,0.0045,0.0061,0.0014,0.0009
E02005791,0.991,0.0052,0.0025,0.0007,0.0004
E02005794,0.9884,0.0056,0.0048,0.0005,0.0006
E02006870,0.9791,0.007,0.0091,0.0036,0.0011
E02005795,0.9842,0.0081,0.007,0.0006,0.0001
E02005796,0.9909,0.0029,0.0042,0.001,0.001
E02005797,0.9864,0.0075,0.0057,0.0003,0.0002
E02005798,0.9849,0.0052,0.0069,0.0009,0.0021
E02005799,0.9802,0.0068,0.0115,0.001,0.0006
E02005800,0.9547,0.013,0.0218,0.0053,0.0051
E02005801,0.9799,0.0069,0.0105,0.0018,0.0009
E02005802,0.9537,0.0153,0.0268,0.0022,0.002
E02005803,0.9555,0.0089,0.0291,0.0035,0.003
E02005804,0.9387,0.0139,0.0293,0.0104,0.0078
E02005805,0.9846,0.0068,0.0062,0.0018,0.0006
E02005806,0.9891,0.0056,0.0036,0.0006,0.0011
E02005807,0.9905,0.0047,0.0027,0.0003,0.0018
E02005808,0.9907,0.005,0.0034,0.0003,0.0006
E02005809,0.98,0.0067,0.0054,0.0079,0
E02005810,0.9857,0.0072,0.0044,0.0021,0.0005
E02005811,0.9845,0.0087,0.0047,0.0018,0.0003
E02005812,0.9835,0.007,0.0062,0.0028,0.0006
E02005813,0.9769,0.0079,0.0125,0.0018,0.0008
E02005814,0.9864,0.0061,0.0059,0.0005,0.0011
E02005815,0.9895,0.0057,0.0043,0.0004,0.0001
E02005816,0.9854,0.0081,0.0046,0.0019,0
E02005817,0.9841,0.0055,0.0032,0.0062,0.001
E02005818,0.9815,0.0113,0.0055,0.0011,0.0006
E02001509,0.9877,0.0045,0.0038,0.0021,0.0019
E02001510,0.9871,0.0058,0.0043,0.0015,0.0014
E02001511,0.989,0.0058,0.0021,0.0016,0.0015
E02001512,0.9798,0.0079,0.0081,0.0018,0.0024
E02001513,0.9836,0.0054,0.0067,0.0018,0.0026
E02001514,0.9821,0.0077,0.0041,0.0044,0.0017
E02001515,0.9789,0.0077,0.0059,0.0062,0.0013
E02001516,0.9811,0.0066,0.0066,0.0052,0.0005
E02001517,0.9873,0.0047,0.0038,0.0038,0.0004
E02001518,0.9715,0.0068,0.0109,0.0087,0.0021
E02001519,0.9785,0.0081,0.0056,0.0067,0.001
E02001520,0.969,0.0049,0.0193,0.0029,0.0038
E02001521,0.9438,0.0119,0.0212,0.0164,0.0067
E02001522,0.9858,0.0066,0.0044,0.0022,0.001
E02001523,0.9759,0.0049,0.009,0.0071,0.0031
E02001524,0.9875,0.0058,0.0036,0.001,0.0022
E02001525,0.9541,0.007,0.015,0.0195,0.0045
E02001526,0.9686,0.0067,0.0051,0.0182,0.0014
E02001527,0.9839,0.0056,0.0081,0.0014,0.001
E02001528,0.9856,0.0068,0.005,0.0024,0.0002
E02001529,0.9727,0.0065,0.0095,0.0096,0.0018
E02001530,0.9771,0.0103,0.0056,0.0054,0.0016
E02001531,0.9768,0.0097,0.0079,0.0045,0.0011
E02001532,0.984,0.0077,0.0057,0.0016,0.0011
E02001533,0.9875,0.0072,0.0013,0.0029,0.0009
E02001534,0.9829,0.0072,0.0036,0.005,0.0012
E02001535,0.9833,0.008,0.0057,0.0023,0.0007
E02001536,0.9877,0.0058,0.0019,0.0036,0.001
E02001537,0.9826,0.0079,0.0052,0.003,0.0012
E02001538,0.9824,0.0083,0.0042,0.0035,0.0016
E02001539,0.9864,0.0052,0.007,0.0003,0.0012
E02001540,0.9792,0.0097,0.0093,0.0013,0.0006
E02001541,0.9834,0.0059,0.0077,0.0015,0.0015
E02001542,0.9753,0.0076,0.0112,0.0047,0.0012
E02001543,0.9869,0.0065,0.0042,0.0013,0.0011
E02001544,0.9792,0.0076,0.0104,0.0018,0.0009
E02001545,0.9825,0.0047,0.0078,0.0038,0.0012
E02001546,0.9219,0.0195,0.0347,0.0203,0.0036
E02001547,0.9771,0.0088,0.0083,0.0052,0.0006
E02001548,0.9654,0.0174,0.0081,0.0076,0.0015
E02001549,0.9739,0.008,0.0129,0.0032,0.002
E02001550,0.9723,0.0102,0.011,0.0056,0.0009
E02001551,0.9592,0.0144,0.0126,0.0108,0.003
E02001552,0.9673,0.0095,0.0139,0.0087,0.0005
E02001553,0.9259,0.0164,0.0403,0.0121,0.0053
E02001554,0.9796,0.0061,0.0101,0.0036,0.0006
E02001555,0.9797,0.0113,0.0041,0.0036,0.0013
E02001556,0.8928,0.0185,0.0639,0.0165,0.0083
E02001557,0.8527,0.0169,0.1051,0.0175,0.0078
E02001558,0.986,0.0041,0.0057,0.0029,0.0013
E02001559,0.9762,0.0071,0.0115,0.0027,0.0025
E02001560,0.7994,0.0266,0.1208,0.0287,0.0246
E02001561,0.8555,0.023,0.0731,0.026,0.0225
E02001562,0.9429,0.0115,0.0312,0.0064,0.008
