MSOA Code,pop0-49,pop50-59,pop60-69,pop70-79,pop80-89,pop90+,total_pop
E02002831,4302,834,822,517,278,56,6809
E02002832,5934,1086,1113,608,337,81,9159
E02002833,5623,1075,932,468,213,29,8340
E02002834,7864,1177,1004,736,386,89,11256
E02002835,10724,1530,1170,597,313,59,14393
E02002836,6211,1206,1150,621,316,43,9547
E02002837,6456,946,624,316,123,12,8477
E02002838,5749,889,621,499,242,49,8049
E02002839,5100,990,817,569,295,92,7863
E02002842,6975,846,460,198,88,18,8585
E02002843,10731,1418,1183,555,266,32,14185
E02002844,8838,1185,817,501,230,55,11626
E02002845,7650,1258,996,562,304,92,10862
E02002846,4296,1092,822,587,279,77,7153
E02002847,7253,1098,925,442,247,44,10009
E02002848,8790,999,816,449,195,27,11276
E02002849,12369,1020,643,423,217,66,14738
E02002851,4895,1049,1064,701,477,132,8318
E02002852,5218,800,543,285,139,22,7007
E02002853,9771,1371,1094,584,337,63,13220
E02002854,5833,1011,653,423,281,66,8267
E02002855,6333,737,532,318,141,18,8079
E02002856,8674,1107,851,653,374,132,11791
E02002857,4958,754,469,254,143,35,6613
E02002858,4026,1046,808,663,397,91,7031
E02002860,4794,1041,839,693,405,120,7892
E02002861,5438,892,643,360,177,37,7547
E02002862,5431,939,715,575,303,67,8030
E02006815,7068,1238,996,668,466,157,10593
E02006817,6414,937,677,466,261,73,8828
E02006819,5836,938,638,436,201,54,8103
E02006850,12494,530,299,153,110,17,13603
E02006851,10983,311,195,62,20,4,11575
E02002863,4624,1049,944,828,323,62,7830
E02002864,4518,1126,1011,840,423,93,8011
E02002865,4057,1089,1024,1056,530,119,7875
E02002866,3814,1224,1032,981,476,107,7634
E02002867,4342,1365,1143,1032,546,149,8577
E02002868,3213,794,675,725,307,30,5744
E02002869,5023,950,703,510,280,60,7526
E02002871,4637,1166,839,663,354,64,7723
E02002872,5863,1192,839,623,232,41,8790
E02002873,7011,1127,687,393,254,41,9513
E02002874,5633,1043,762,466,247,87,8238
E02002875,6054,1097,674,498,227,53,8603
E02002876,5317,1171,821,555,265,47,8176
E02002877,4861,984,825,612,332,116,7730
E02002878,7805,947,548,292,113,18,9723
E02002879,7348,1135,688,405,140,25,9741
E02002880,6898,1029,548,419,139,25,9058
E02002881,4824,884,555,361,176,63,6863
E02002882,6036,1050,739,413,256,95,8589
E02002883,5623,1022,694,399,186,27,7951
E02002884,5564,676,374,192,121,41,6968
E02002885,7648,787,455,240,55,15,9200
E02002886,6874,1018,878,574,354,71,9769
E02002887,3837,879,751,670,340,106,6583
E02002888,5524,884,634,329,185,21,7577
E02002889,11894,569,339,132,69,17,13020
E02002890,11788,938,607,359,180,40,13912
E02002891,5430,1013,829,535,324,59,8190
E02002892,3961,849,563,394,248,59,6074
E02002893,14238,875,579,274,113,22,16101
E02002894,4416,878,777,546,328,89,7034
E02002895,7182,530,371,249,92,14,8438
E02002896,8403,1011,657,372,175,45,10663
E02002897,4646,1107,891,854,551,124,8173
E02002898,9880,381,329,172,128,24,10914
E02002899,9517,493,467,320,179,43,11019
E02002901,3701,855,723,519,299,70,6167
E02002902,6300,1066,965,458,339,138,9266
E02002903,3722,739,790,477,416,88,6232
E02002904,3934,805,614,341,249,92,6035
E02006834,4694,1023,744,606,423,53,7543
E02006904,11262,510,324,138,17,21,12272
E02006905,5819,840,582,343,164,34,7782
E02002905,2891,1101,1094,986,336,56,6464
E02002906,3397,745,722,668,416,157,6105
E02002907,3568,835,846,695,300,52,6296
E02002908,4033,1448,1512,1308,540,88,8929
E02002909,5146,1670,1799,1364,623,166,10768
E02002910,3761,1312,1351,1154,539,110,8227
E02002911,5060,1352,1340,1145,599,114,9610
E02002912,4202,1205,1036,811,355,62,7671
E02002913,2442,952,1039,926,374,95,5828
E02002914,5408,1347,1089,889,485,76,9294
E02002915,4231,1142,895,791,521,170,7750
E02002916,6549,1378,993,699,372,77,10068
E02002917,4455,998,710,601,332,78,7174
E02002918,3128,873,808,671,419,92,5991
E02002919,6490,1203,935,734,333,84,9779
E02002920,3857,1027,842,702,278,73,6779
E02002921,5805,1027,740,452,210,36,8270
E02002922,3371,1090,1060,880,389,70,6860
E02002923,5124,1478,1190,1327,732,203,10054
E02002924,2916,1066,946,847,393,78,6246
E02002925,6039,1824,1568,1212,531,95,11269
E02002926,5879,1542,1555,1373,772,188,11309
E02002927,5335,2151,2014,1698,710,152,12060
E02002928,3408,896,740,647,235,56,5982
E02002929,3494,943,811,735,302,73,6358
E02002930,3771,757,697,711,364,72,6372
E02002931,3876,1120,766,695,284,21,6762
E02002932,6415,1101,792,615,249,47,9219
E02002933,4283,1371,908,814,423,71,7870
E02002934,3582,937,844,450,186,29,6028
E02002935,3770,899,798,720,309,38,6534
E02002936,7829,1203,735,482,179,37,10465
E02002937,5204,1820,1394,1128,437,77,10060
E02002938,4897,900,711,482,207,40,7237
E02002939,3926,1017,829,699,404,89,6964
E02002940,3424,902,677,552,265,36,5856
E02002941,6491,1449,1118,950,394,82,10484
E02002942,4754,1062,837,440,216,44,7353
E02002943,11179,1662,1062,625,254,76,14858
E02002944,5583,1048,789,539,224,31,8214
E02002945,6564,1287,969,623,223,24,9690
E02002946,4603,1233,909,621,289,37,7692
E02002947,4895,856,690,526,163,33,7163
E02002948,5694,802,530,386,134,14,7560
E02002949,2914,845,718,594,257,37,5365
E02002950,3616,707,627,564,220,34,5768
E02002951,4172,1136,1072,799,346,90,7615
E02002952,5038,923,659,536,295,44,7495
E02002953,4364,929,844,852,322,62,7373
E02002954,4948,1178,936,733,351,47,8193
E02002955,5679,820,569,405,191,37,7701
E02002956,6090,1247,914,642,299,59,9251
E02002957,5251,1400,1166,1093,579,77,9566
E02002958,5285,1049,848,682,322,54,8240
E02002959,6785,1033,734,544,290,47,9433
E02002960,3283,907,822,516,210,28,5766
E02002961,5097,767,525,426,175,26,7016
E02002962,4587,961,759,614,303,49,7273
E02002963,4961,957,648,435,218,28,7247
E02002964,4606,1198,1100,1036,489,65,8494
E02002965,6783,786,482,266,132,20,8469
E02002966,8172,664,629,431,185,39,10120
E02002967,7249,1238,937,528,325,62,10339
E02002968,6130,1221,863,633,325,72,9244
E02002969,6741,1068,764,585,262,36,9456
E02002970,5425,1133,730,618,199,38,8143
E02002971,2900,741,697,399,108,9,4854
E02002972,3986,824,688,566,192,36,6292
E02002973,5661,1108,804,522,259,36,8390
E02002974,3160,827,791,743,369,88,5978
E02002975,4016,1140,938,726,220,32,7072
E02002976,3694,856,636,559,252,19,6016
E02002977,2786,799,826,828,395,68,5702
E02002978,4667,762,621,455,231,37,6773
E02002979,4329,582,523,364,188,31,6017
E02002980,3014,811,810,828,433,97,5993
E02002981,5688,1189,770,545,215,22,8429
E02002982,5556,933,795,432,208,51,7975
E02002983,2680,818,690,657,208,30,5083
E02002984,2684,810,871,679,268,55,5367
E02002985,3881,755,641,635,384,113,6409
E02002986,4004,698,582,603,332,86,6305
E02002987,2995,745,690,699,435,83,5647
E02002988,3310,806,645,536,311,89,5697
E02002989,3433,772,545,488,412,91,5741
E02002990,4100,792,585,447,156,18,6098
E02002991,7556,1279,972,874,508,129,11318
E02002992,3777,790,576,481,291,65,5980
E02002993,5014,660,500,305,164,54,6697
E02002994,5579,1688,1326,1169,651,132,10545
E02002995,4184,706,402,323,138,29,5782
E02002996,10263,988,929,743,351,95,13369
E02002997,6162,559,461,386,199,40,7807
E02002998,4263,640,396,347,214,59,5919
E02002999,3501,658,578,507,279,54,5577
E02003000,4795,1454,1452,1240,591,127,9659
E02003001,3143,842,690,491,298,97,5561
E02003002,3754,739,637,480,238,89,5937
E02003003,4013,704,547,446,244,86,6040
E02003004,3774,1090,860,689,312,56,6781
E02003005,3422,1033,884,796,303,64,6502
E02003006,6188,1378,976,788,349,86,9765
E02003007,5624,1269,1050,859,403,85,9290
E02003008,4026,840,583,429,239,34,6151
E02003009,3678,913,652,574,351,70,6238
E02003010,4422,898,690,478,231,50,6769
E02003011,3207,764,608,707,350,62,5698
E02003012,7714,1297,1060,890,392,120,11473
E02003013,8301,1323,989,864,395,106,11978
E02003014,6111,818,630,445,245,47,8296
E02003015,4703,717,558,425,246,44,6693
E02003016,6391,732,534,340,178,41,8216
E02003017,3524,710,622,664,384,176,6080
E02003018,3662,772,680,518,211,67,5910
E02003019,6408,1307,943,747,362,101,9868
E02003020,3723,748,683,678,444,234,6510
E02003021,5899,603,451,327,204,70,7554
E02003022,3372,762,703,587,398,81,5903
E02003023,4296,773,717,510,271,97,6664
E02003024,6727,1018,769,619,387,180,9700
E02003025,5408,829,598,440,251,75,7601
E02003026,5731,1004,1007,899,546,148,9335
E02003027,9784,1288,907,519,190,55,12743
E02003028,5858,1068,715,513,289,88,8531
E02003029,4564,753,504,337,167,48,6373
E02003030,5688,887,666,366,157,27,7791
E02003031,8210,1140,734,388,138,39,10649
E02003032,5937,815,641,444,238,52,8127
E02003033,7387,633,420,366,112,55,8973
E02003034,11059,1177,713,336,159,22,13466
E02003036,8830,618,431,240,135,52,10306
E02003037,7415,593,469,317,177,42,9013
E02003038,4452,802,553,426,232,47,6512
E02003039,6213,1030,679,536,226,66,8750
E02003040,7616,938,559,404,279,92,9888
E02003041,4478,528,473,434,210,29,6152
E02003043,17287,649,456,409,131,17,18949
E02003044,3769,726,533,491,236,18,5773
E02003045,5858,549,498,389,118,15,7427
E02003046,7257,1096,709,490,219,67,9838
E02003047,8394,1105,753,465,299,85,11101
E02003048,5593,677,469,247,96,20,7102
E02003049,5043,909,665,655,285,61,7618
E02003050,7585,874,679,447,290,74,9949
E02003051,5908,690,420,273,108,16,7415
E02003052,4852,697,563,457,215,59,6843
E02003053,5445,1032,801,546,283,88,8195
E02003054,4383,867,623,471,187,45,6576
E02003055,6130,956,660,420,226,26,8418
E02003056,5295,840,730,443,202,26,7536
E02003057,3747,708,606,514,281,76,5932
E02003058,5804,1069,925,741,398,114,9051
E02003059,4060,724,602,378,314,66,6144
E02003060,6243,1355,1163,1030,621,147,10559
E02003061,4138,702,578,367,221,48,6054
E02003062,4011,701,511,329,285,52,5889
E02003063,3708,868,929,843,402,57,6807
E02003064,5147,850,530,316,256,34,7133
E02006887,8410,639,364,200,73,27,9713
E02006888,5787,663,398,199,149,46,7242
E02006889,6625,650,451,275,175,26,8202
E02006890,6914,936,486,312,182,26,8856
E02003065,5566,1348,1115,1149,572,136,9886
E02003066,2884,993,952,918,343,85,6175
E02003067,4983,1003,786,732,348,86,7938
E02003068,3372,931,776,785,330,95,6289
E02003069,2523,886,801,776,490,135,5611
E02003070,8122,1821,1485,1385,689,129,13631
E02003071,4240,1198,1014,891,585,175,8103
E02003072,4385,1314,1193,1324,785,124,9125
E02003073,3224,994,902,906,313,82,6421
E02003074,4490,1110,984,727,342,75,7728
E02003075,3285,986,723,700,303,52,6049
E02003076,5100,1484,1199,1083,478,90,9434
E02003077,3280,954,798,737,381,32,6182
E02003078,3740,1102,961,966,360,66,7195
E02003079,5572,1368,1181,845,316,57,9339
E02003080,4394,1137,1123,1330,628,138,8750
E02003081,4720,1429,1227,1351,604,132,9463
E02003082,4595,1474,1163,1088,671,238,9229
E02003084,6434,1521,1090,877,554,167,10643
E02003085,5299,1154,716,480,244,37,7930
E02003086,3080,949,764,686,508,191,6178
E02003087,5079,1442,1498,1499,618,84,10220
E02003088,4007,1257,1230,1194,577,179,8444
E02003089,3055,854,780,821,360,73,5943
E02006845,6772,1147,884,672,320,102,9897
E02006846,7366,955,506,288,117,17,9249
E02003090,4777,1058,882,905,445,95,8162
E02003091,3540,1023,772,835,415,73,6658
E02003092,4558,1570,1020,739,295,38,8220
E02003093,2934,1033,923,948,515,108,6461
E02003094,5278,1352,1013,843,357,91,8934
E02003095,4397,1214,898,704,278,45,7536
E02003096,3866,945,630,596,212,45,6294
E02003097,3214,899,812,954,453,111,6443
E02003098,7606,1441,740,385,117,17,10306
E02003099,4383,987,808,803,424,61,7466
E02003100,9556,1706,1175,1040,503,97,14077
E02003101,8192,1621,801,435,159,79,11287
E02003102,4039,1082,706,742,398,54,7021
E02003103,5044,932,646,512,118,19,7271
E02003104,4591,1143,908,634,278,46,7600
E02003105,3283,995,696,793,475,110,6352
E02003106,12525,1472,791,643,358,144,15933
E02003107,7836,1186,860,863,470,113,11328
E02003108,6685,1709,1215,1028,518,94,11249
